query,page,clicks,impressions,ctr,position
num num bakery,https://numnumsbakery.com.au/,170,971,17.51,2.1
numnum bakery,https://numnumsbakery.com.au/,61,219,27.85,1.4
num nums bakery,https://numnumsbakery.com.au/,47,362,12.98,1.7
num num bakery riverstone,https://numnumsbakery.com.au/,41,264,15.53,1.2
cake shop near me,https://numnumsbakery.com.au/,24,736,3.26,6.8
eggless cake near me,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,21,912,2.3,7.5
eggless cake near me,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,19,1240,1.53,7.2
numnums bakery,https://numnumsbakery.com.au/,19,101,18.81,1.8
num num bakery harris park,https://numnumsbakery.com.au/,18,108,16.67,1.2
eggless cake near me,https://numnumsbakery.com.au/,15,458,3.28,16.6
num num riverstone,https://numnumsbakery.com.au/,15,123,12.2,1.0
num nums bakery riverstone menu,https://numnumsbakery.com.au/,14,78,17.95,2.6
num num bakery,http://www.numnumsbakery.com.au/,13,90,14.44,1.3
num num harris park,https://numnumsbakery.com.au/,13,102,12.75,1.0
num num bakery,https://numnumsbakery.com.au/order,12,817,1.47,2.4
nums nums bakery,https://numnumsbakery.com.au/,11,44,25.0,1.5
nom nom bakery,https://numnumsbakery.com.au/,10,303,3.3,5.0
num nums bakery harris park,https://numnumsbakery.com.au/,10,41,24.39,1.0
eggless cake sydney,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,9,299,3.01,7.0
num num cakes,https://numnumsbakery.com.au/,9,51,17.65,1.5
eggless cake sydney,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,8,355,2.25,11.3
num num,https://numnumsbakery.com.au/,8,395,2.03,2.6
num nums bakery menu,https://numnumsbakery.com.au/,8,89,8.99,3.3
photo cake sydney,https://numnumsbakery.com.au/blog/photo-cake-sydney,8,52,15.38,4.5
eggless cakes near me,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,7,317,2.21,8.3
cakes near me,https://numnumsbakery.com.au/,6,169,3.55,9.7
eggless cake parramatta,https://numnumsbakery.com.au/,6,44,13.64,3.0
eggless cakes near me,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,6,185,3.24,13.2
harris park cake shop,https://numnumsbakery.com.au/,6,68,8.82,4.1
nam nam bakery,https://numnumsbakery.com.au/,6,65,9.23,1.8
num nums bakery riverstone,https://numnumsbakery.com.au/,6,85,7.06,1.6
bakery harris park,https://numnumsbakery.com.au/,5,44,11.36,3.1
cake near me,https://numnumsbakery.com.au/,5,159,3.14,7.8
cake shop harris park,https://numnumsbakery.com.au/,5,76,6.58,3.2
cake shop riverstone,https://numnumsbakery.com.au/,5,80,6.25,1.7
eggless cake parramatta,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,5,115,4.35,4.4
eggless cakes sydney,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,5,254,1.97,8.8
num num bakery,https://numnumsbakery.com.au/cakes,5,683,0.73,1.9
num num bakery riverstone,http://www.numnumsbakery.com.au/,5,35,14.29,1.6
bakery near me,https://numnumsbakery.com.au/,4,304,1.32,9.3
eggless cake in sydney,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,4,37,10.81,6.1
eggless cake near me,https://numnumsbakery.com.au/blog/eggless-cakes-quakers-hill,4,32,12.5,4.9
eggless cake near me,https://numnumsbakery.com.au/blog/eggless-cakes-schofields,4,62,6.45,6.3
num nums,https://numnumsbakery.com.au/,4,778,0.51,5.5
num nums bakery,http://www.numnumsbakery.com.au/,4,40,10.0,2.7
num nums bakery photos,https://numnumsbakery.com.au/,4,68,5.88,2.9
rasmalai cake near me,https://numnumsbakery.com.au/,4,99,4.04,8.3
bakeries near me,https://numnumsbakery.com.au/,3,32,9.38,10.5
best cakes sydney,https://numnumsbakery.com.au/blog/best-cake-sydney,3,542,0.55,10.8
cake shop in harris park,https://numnumsbakery.com.au/,3,53,5.66,2.9
cake shops near me,https://numnumsbakery.com.au/,3,97,3.09,8.8
eggless cake,https://numnumsbakery.com.au/,3,119,2.52,6.0
eggless cake,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,3,154,1.95,10.4
eggless cakes,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,3,333,0.9,13.7
num num bakery riverstone,https://numnumsbakery.com.au/cakes,3,231,1.3,2.5
num num bakery wentworthville,https://numnumsbakery.com.au/,3,126,2.38,2.2
numnums,https://numnumsbakery.com.au/,3,150,2.0,3.6
rasmalai cake,https://numnumsbakery.com.au/,3,86,3.49,4.0
birthday cake,https://numnumsbakery.com.au/,2,21,9.52,8.4
birthday cakes near me,https://numnumsbakery.com.au/,2,22,9.09,8.5
cake shop near me,http://www.numnumsbakery.com.au/,2,64,3.12,7.5
cake shops near me,http://www.numnumsbakery.com.au/,2,12,16.67,5.8
cookies and cream cake near me,https://numnumsbakery.com.au/,2,2,100,3
cookies near me,https://numnumsbakery.com.au/,2,23,8.7,9.0
custom photo cake,https://numnumsbakery.com.au/blog/photo-cake-sydney,2,32,6.25,5.2
egg free cakes sydney,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,2,110,1.82,6.2
eggless cake blacktown,https://numnumsbakery.com.au/blog/eggless-cakes-schofields,2,20,10.0,5.5
eggless cake near me,https://numnumsbakery.com.au/blog/eggless-cakes-north-kellyville,2,31,6.45,5.6
eggless cake parramatta,http://www.numnumsbakery.com.au/,2,4,50.0,2
eggless cake shop near me,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,2,39,5.13,6.3
eggless cake shop near me,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,2,48,4.17,6.0
eggless cake sydney,https://numnumsbakery.com.au/,2,103,1.94,43.8
eggless cupcakes near me,https://numnumsbakery.com.au/,2,6,33.33,12
eggless cupcakes near me,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,2,44,4.55,7.0
halal cakes near me,https://numnumsbakery.com.au/,2,16,12.5,21.2
nam's eggless bakes,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,2,24,8.33,5.7
num num cakes,https://numnumsbakery.com.au/cakes,2,47,4.26,2.5
num num cakes,https://numnumsbakery.com.au/order,2,42,4.76,2.7
num nums bakery,https://numnumsbakery.com.au/order,2,206,0.97,3.0
num nums bakery reviews,https://numnumsbakery.com.au/,2,100,2.0,3.8
numnum bakery,https://numnumsbakery.com.au/cakes,2,155,1.29,1.5
numnum cake,https://numnumsbakery.com.au/,2,8,25.0,5.1
photo cake,https://numnumsbakery.com.au/blog/photo-cake-sydney,2,233,0.86,11.7
rasmalai cake,http://www.numnumsbakery.com.au/,2,7,28.57,4.7
riverstone bakery,https://numnumsbakery.com.au/,2,172,1.16,4.6
riverstone village shopping centre directory,https://numnumsbakery.com.au/,2,2,100,1
15 people cake size,https://numnumsbakery.com.au/blog/cake-serving-size-guide-sydney,1,2,50.0,5.5
baby first birthday smash cake,https://numnumsbakery.com.au/,1,1,100,5
bakery cake,https://numnumsbakery.com.au/,1,1,100,6
bakery in harris park,https://numnumsbakery.com.au/,1,18,5.56,4.2
bakery parramatta,https://numnumsbakery.com.au/,1,29,3.45,20.8
bakery riverstone,http://www.numnumsbakery.com.au/,1,3,33.33,1
bakery riverstone,https://numnumsbakery.com.au/,1,110,0.91,3.2
bento box cake near me,https://numnumsbakery.com.au/,1,1,100,11
bento cake near me,https://numnumsbakery.com.au/,1,3,33.33,17
best cake,https://numnumsbakery.com.au/blog/best-cake-sydney,1,81,1.23,8.6
best cake near me,https://numnumsbakery.com.au/,1,7,14.29,11.4
best cake sydney,https://numnumsbakery.com.au/blog/best-cake-sydney,1,97,1.03,13.0
best dessert western sydney,https://numnumsbakery.com.au/blog/best-dessert-shop-sydney,1,19,5.26,9.1
best donuts near me,https://numnumsbakery.com.au/,1,3,33.33,8.7
best eggless cake near me,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,1,16,6.25,4.8
birthday cake for 60 people,https://numnumsbakery.com.au/,1,1,100,10
black forest cake near me,https://numnumsbakery.com.au/,1,5,20.0,4.4
buy eggless cake,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,1,10,10.0,6.5
cake,https://numnumsbakery.com.au/,1,74,1.35,6.9
cake delivery windsor,https://numnumsbakery.com.au/,1,1,100,22
cake eggless,https://numnumsbakery.com.au/,1,2,50.0,9.5
cake printing near me,https://numnumsbakery.com.au/blog/photo-cake-sydney,1,8,12.5,8.6
cake shop,https://numnumsbakery.com.au/,1,93,1.08,14.9
cake shop in parramatta,https://numnumsbakery.com.au/,1,19,5.26,13.9
cake shop near me open now,https://numnumsbakery.com.au/,1,17,5.88,6.4
cake shop parramatta,https://numnumsbakery.com.au/,1,41,2.44,19.9
cake shop riverstone,http://www.numnumsbakery.com.au/,1,2,50.0,1
cake shop riverstone,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,1,17,5.88,9.2
cake shop riverstone,https://numnumsbakery.com.au/cakes,1,28,3.57,1.0
cake shop rouse hill,https://numnumsbakery.com.au/,1,12,8.33,10.3
cake shops in parramatta,http://www.numnumsbakery.com.au/,1,1,100,1
cake store near me,https://numnumsbakery.com.au/,1,18,5.56,5.8
cake stores near me,https://numnumsbakery.com.au/,1,7,14.29,5.3
cake with photo,https://numnumsbakery.com.au/blog/photo-cake-sydney,1,31,3.23,8.9
cake with printed image,https://numnumsbakery.com.au/blog/photo-cake-sydney,1,11,9.09,5.8
