query,urls_competing,total_impressions,total_clicks,owner_url,owner_impressions,owner_position,split_impressions,rival_urls,best_position_url_is_owner,best_position
egg free cakes mount druitt,6,69,0,https://numnumsbakery.com.au/blog/eggless-cakes-whalan,25,15.2,44,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026 | https://numnumsbakery.com.au/blog/eggless-cakes-mount-druitt | https://numnumsbakery.com.au/blog/eggless-cakes-willmot | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney | https://numnumsbakery.com.au/blog/eggless-cakes-minchinbury,False,2
office cakes sydney,2,107,0,https://numnumsbakery.com.au/blog/corporate-cake-sydney,63,12.9,44,https://numnumsbakery.com.au/blog/eggless-cake-office-birthday-sydney,True,12.9
15 cullum street bossley park nsw 2176,3,106,0,https://numnumsbakery.com.au/,63,41.1,43,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cakes-bossley-park,False,12.8
bakery harris park,2,84,5,https://numnumsbakery.com.au/,42,3.0,42,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,True,3.0
nam nam bakery,4,95,5,https://numnumsbakery.com.au/,53,1.8,42,https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/about,True,1.8
harris park bakery,2,128,0,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,90,7.1,38,https://numnumsbakery.com.au/,False,3.5
num num cake wentworthville,3,105,0,https://numnumsbakery.com.au/,69,4.4,36,https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/blog,True,4.4
number cake sydney,3,120,0,https://numnumsbakery.com.au/,85,64.1,35,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/order,True,64.1
bakery riverstone,3,138,1,https://numnumsbakery.com.au/,110,3.2,28,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/cakes,True,3.2
cake shop near me,2,884,26,https://numnumsbakery.com.au/,858,7.0,26,https://numnumsbakery.com.au/cakes,False,6.4
the sum of sweets eggless cake,3,42,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,16,12.1,26,https://numnumsbakery.com.au/blog | https://numnumsbakery.com.au/cakes,True,12.1
egg free cakes cherrybrook,3,86,0,https://numnumsbakery.com.au/blog/eggless-cakes-dean-park,61,22.1,25,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026 | https://numnumsbakery.com.au/blog/eggless-cakes-riverstone,False,18.9
num nums hunger bees,5,52,0,https://numnumsbakery.com.au/,28,7.5,24,https://numnumsbakery.com.au/order | https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog | https://numnumsbakery.com.au/about,True,7.5
bakery near me,2,352,5,https://numnumsbakery.com.au/,329,9.1,23,https://numnumsbakery.com.au/cakes,False,1.7
riverstone cake shop,3,46,5,https://numnumsbakery.com.au/,23,1.5,23,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,False,1
nam's eggless bakes,3,48,2,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,25,5.7,23,https://numnumsbakery.com.au/ | https://numnumsbakery.com.au/cakes,True,5.7
eggless cake delivery sydney,4,56,1,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,35,5.9,21,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/ | https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney,True,5.9
15 cullum street bossley park,3,73,0,https://numnumsbakery.com.au/,52,44.9,21,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cakes-bossley-park,False,13.2
num noms cake,3,51,0,https://numnumsbakery.com.au/,31,16.5,20,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/order,True,16.5
eggless bakery near me,3,34,0,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,16,4.2,18,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026 | https://numnumsbakery.com.au/,True,4.2
eggless pastry near me,3,37,1,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,19,6.9,18,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026 | https://numnumsbakery.com.au/,False,2.9
sydney office cake delivery,3,77,0,https://numnumsbakery.com.au/blog/eggless-cake-office-birthday-sydney,59,27.8,18,https://numnumsbakery.com.au/blog/corporate-cake-sydney | https://numnumsbakery.com.au/blog/cake-delivery-sydney,True,27.8
bakery in harris park,2,45,3,https://numnumsbakery.com.au/,28,3.5,17,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,True,3.5
semi naked cake darlinghurst,2,47,0,https://numnumsbakery.com.au/blog/naked-cake-sydney,30,14.4,17,https://numnumsbakery.com.au/blog/semi-naked-cake-sydney,False,6
eggless bakery,3,35,0,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,20,7.2,15,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney | https://numnumsbakery.com.au/,True,7.2
eggless birthday cake near me,2,31,2,https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,17,6.9,14,https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,True,6.9
eggless cake wentworthville,2,43,0,https://numnumsbakery.com.au/,29,6.3,14,https://numnumsbakery.com.au/blog,True,6.3
nomnom cake,2,55,2,https://numnumsbakery.com.au/,42,4,13,https://numnumsbakery.com.au/cakes,True,4
cake delivery north sydney,3,23,0,https://numnumsbakery.com.au/,10,48,13,https://numnumsbakery.com.au/cakes | https://numnumsbakery.com.au/blog/eggless-cake-delivery-sydney,False,28.4
kids cake sydney,2,140,0,https://numnumsbakery.com.au/blog/kids-birthday-cake-sydney,127,17.9,13,https://numnumsbakery.com.au/blog/kids-birthday-cake-north-west-sydney,True,17.9
