page,clicks,impressions,ctr,position
https://numnumsbakery.com.au/,1236,22501,5.49,13.1
https://numnumsbakery.com.au/blog/best-eggless-cake-shops-sydney-2026,210,8404,2.5,9.0
https://numnumsbakery.com.au/blog/photo-cake-sydney,133,5356,2.48,9.0
https://numnumsbakery.com.au/blog/eggless-cake-bakery-harris-park-riverstone-sydney,114,7495,1.52,7.5
https://numnumsbakery.com.au/cakes,57,5076,1.12,14.2
https://numnumsbakery.com.au/blog/best-dessert-shop-sydney,38,2886,1.32,9.9
https://numnumsbakery.com.au/blog/eggless-cakes-schofields,33,1254,2.63,6.8
https://numnumsbakery.com.au/order,32,3019,1.06,4.8
https://numnumsbakery.com.au/blog/first-birthday-cake-sydney,27,770,3.51,10.5
https://numnumsbakery.com.au/blog/eggless-cake-storage-freshness-guide,24,4131,0.58,7.2
https://numnumsbakery.com.au/indian-sweet,22,2927,0.75,10.8
https://numnumsbakery.com.au/blog/eggless-cakes-dean-park,20,1648,1.21,8.1
https://numnumsbakery.com.au/blog/cake-price-guide-sydney,18,910,1.98,6.1
https://numnumsbakery.com.au/blog/cake-serving-size-guide-sydney,18,1933,0.93,6.9
https://numnumsbakery.com.au/blog/kids-birthday-cake-sydney,17,871,1.95,13.9
https://numnumsbakery.com.au/blog/number-cakes-sydney,15,270,5.56,6.5
https://numnumsbakery.com.au/blog/best-cake-sydney,14,2296,0.61,14.5
https://numnumsbakery.com.au/blog/same-day-cake-sydney,14,771,1.82,8.7
https://numnumsbakery.com.au/blog/eggless-cake-vs-regular-cake,12,1841,0.65,6.9
https://numnumsbakery.com.au/blog/cake-smash-cakes-sydney,11,134,8.21,6.1
https://numnumsbakery.com.au/blog/eggless-cake-for-toddlers-sydney,11,134,8.21,10
https://numnumsbakery.com.au/about,7,1645,0.43,4.3
https://numnumsbakery.com.au/blog/are-eggless-cakes-healthy,7,619,1.13,4.6
https://numnumsbakery.com.au/blog/eggless-cakes-doonside,7,406,1.72,7.9
https://numnumsbakery.com.au/blog/halal-friendly-cakes-eggless-sydney,7,742,0.94,12.6
https://numnumsbakery.com.au/blog/indian-sweets-harris-park-riverstone-sydney,7,459,1.53,6.1
https://numnumsbakery.com.au/blog/eggless-cake-for-vegetarians-sydney,6,675,0.89,20.0
https://numnumsbakery.com.au/blog/eggless-cake-indian-flavours,6,254,2.36,19.8
https://numnumsbakery.com.au/blog/eggless-cake-nut-free-sydney,6,311,1.93,13.8
https://numnumsbakery.com.au/blog/eggless-cakes-eid-milad-un-nabi-sydney,6,293,2.05,6.9
https://numnumsbakery.com.au/blog/farewell-cake-sydney.html,6,148,4.05,5.6
https://numnumsbakery.com.au/blog/sheet-cake-sydney,6,102,5.88,6.7
https://numnumsbakery.com.au/blog,5,672,0.74,13.7
https://numnumsbakery.com.au/blog/birthday-cake-for-men-sydney,5,136,3.68,8.6
https://numnumsbakery.com.au/blog/eggless-cake-troubleshooting,5,472,1.06,7.5
https://numnumsbakery.com.au/blog/eggless-cakes-gender-reveal-sydney,5,152,3.29,7
https://numnumsbakery.com.au/blog/eggless-cakes-riverstone,5,565,0.88,9.0
https://numnumsbakery.com.au/blog/luxury-cake-sydney,5,88,5.68,12.7
https://numnumsbakery.com.au/blog/eggless-cake-ingredients-sydney,4,280,1.43,8.4
https://numnumsbakery.com.au/blog/eggless-cake-vs-sponge-cake,4,132,3.03,8.6
https://numnumsbakery.com.au/blog/eggless-cakes-mid-autumn-festival-sydney,4,78,5.13,8.1
https://numnumsbakery.com.au/blog/eggless-cakes-northwest-sydney,4,122,3.28,13.2
https://numnumsbakery.com.au/blog/eggless-cakes-quakers-hill,4,138,2.9,9.1
https://numnumsbakery.com.au/blog/eggless-cakes-soft-moist-myths-vs-facts,4,463,0.86,6.9
https://numnumsbakery.com.au/blog/eggless-cakes-the-ponds,4,69,5.8,5.8
https://numnumsbakery.com.au/blog/wedding-cake-sydney-north-west,4,390,1.03,10.8
https://numnumsbakery.com.au/blog/eggless-cake-egg-substitutes,3,1337,0.22,9.1
https://numnumsbakery.com.au/blog/eggless-cake-for-pregnancy-sydney,3,130,2.31,13.2
https://numnumsbakery.com.au/blog/eggless-cake-lower-sugar-options-sydney,3,49,6.12,7.6
https://numnumsbakery.com.au/blog/eggless-cake-texture-moist,3,117,2.56,6.5
https://numnumsbakery.com.au/blog/eggless-cakes-chuseok-sydney,3,29,10.34,8.1
https://numnumsbakery.com.au/blog/eggless-cakes-glenorie,3,19,15.79,6.2
https://numnumsbakery.com.au/blog/unique-birthday-cake-ideas-sydney,3,316,0.95,9.9
https://numnumsbakery.com.au/blog/afternoon-tea-cakes-sydney,2,115,1.74,19
https://numnumsbakery.com.au/blog/birthday-cake-north-west-sydney,2,305,0.66,9.8
https://numnumsbakery.com.au/blog/cake-flavour-guide-sydney,2,65,3.08,5.0
https://numnumsbakery.com.au/blog/cake-smash-vs-first-birthday-cake-sydney,2,57,3.51,8.4
https://numnumsbakery.com.au/blog/eggless-birthday-cakes-sydney,2,43,4.65,10.7
https://numnumsbakery.com.au/blog/eggless-cake-delivery-sydney,2,154,1.3,27.5
https://numnumsbakery.com.au/blog/eggless-cake-for-egg-allergy,2,145,1.38,8.6
https://numnumsbakery.com.au/blog/eggless-cakes-auburn,2,140,1.43,8.9
https://numnumsbakery.com.au/blog/eggless-cakes-birrong,2,152,1.32,6.4
https://numnumsbakery.com.au/blog/eggless-cakes-constitution-hill,2,150,1.33,8.2
https://numnumsbakery.com.au/blog/eggless-cakes-hassall-grove,2,70,2.86,5.4
https://numnumsbakery.com.au/blog/eggless-cakes-north-kellyville,2,106,1.89,6.1
